Word,SFI
repertoire,72.45
obtain,66.52
distribution,65.67
parameter,64.37
aspect,64.19
dynamic,63.51
impact,63.49
domain,63.47
publish,62.90
denote,62.57
authority,62.50
semantic,62.38
par,62.34
ion,62.18
matrix,62.17
linear,62.12
cognitive,62.07
graph,61.81
correlation,61.76
linguistic,61.74
acid,61.72
induce,61.65
velocity,61.64
interval,61.62
discourse,61.51
finite,61.48
stimulus,61.44
vector,61.43
electron,61.41
receptor,61.36
theorem,61.32
algorithm,61.25
fluid,61.21
developmental,61.17
bound,61.14
molecular,61.02
transformation,60.98
spatial,60.89
coefficient,60.83
translation,60.70
membrane,60.68
neuron,60.65
simulation,60.64
lexical,60.62
regime,60.53
variance,60.34
molecule,60.31
marker,60.23
empirical,60.15
robot,60.06
statistical,60.00
vowel,59.97
equilibrium,59.95
intensity,59.94
regression,59.92
diagnosis,59.84
identification,59.82
node,59.78
candidate,59.73
partial,59.71
correlate,59.68
mortality,59.67
antibody,59.65
temporal,59.61
particle,59.59
duration,59.58
behavioral,59.55
consumption,59.55
bilingual,59.49
sensitivity,59.47
similarity,59.46
optimal,59.41
explicit,59.39
mutation,59.37
colonial,59.37
phonological,59.33
spectrum,59.33
nucleus,59.32
onset,59.31
integration,59.26
dominant,59.25
pathway,59.22
coordinate,59.19
calculation,59.18
precede,59.16
subset,59.15
syntactic,59.14
orientation,59.13
proposition,59.13
inequality,59.11
identical,59.11
prevalence,59.10
differential,59.04
generalize,59.03
beam,59.02
pulse,59.01
norm,59.01
trait,58.97
prediction,58.96
correspondence,58.94
essentially,58.93
syllable,58.82
chromosome,58.77
infect,58.76
magnetic,58.76
configuration,58.76
numerical,58.74
namely,58.73
intermediate,58.72
transmission,58.72
dose,58.71
occurrence,58.70
maternal,58.69
axis,58.67
rational,58.66
locus,58.64
elite,58.63
approximation,58.60
thesis,58.60
sin,58.59
classification,58.54
threshold,58.52
syndrome,58.51
comparative,58.50
activate,58.46
adolescent,58.46
vocabulary,58.44
encode,58.44
utterance,58.44
facilitate,58.44
incidence,58.42
induction,58.42
trajectory,58.42
manuscript,58.41
commonly,58.32
grammatical,58.32
accuracy,58.32
adaptation,58.31
amplitude,58.31
cortex,58.31
minimal,58.28
systematic,58.28
horizontal,58.27
projection,58.26
synthesis,58.26
diameter,58.26
cone,58.24
dependence,58.24
organism,58.22
emergence,58.20
overlap,58.19
substitution,58.14
explicitly,58.12
evident,58.12
conceptual,58.11
detection,58.10
interact,58.10
neural,58.08
chronic,58.07
integral,58.06
enzyme,58.05
conference,58.04
conception,58.04
ex,58.03
ideology,58.03
sperm,58.01
quantitative,58.01
sphere,57.99
instability,57.97
mediate,57.95
specification,57.95
classify,57.94
physician,57.94
computation,57.92
oral,57.91
mid,57.91
indicator,57.90
variant,57.89
evolutionary,57.87
feedback,57.86
collective,57.82
arbitrary,57.82
fraction,57.81
estimation,57.80
nonlinear,57.80
compact,57.79
