word,rank,frequency,cefr_level,sfi
repertoire,1,17579236,A1,72.45
obtain,2,4487454,A1,66.52
distribution,3,3689776,A1,65.67
parameter,4,2735269,A1,64.37
aspect,5,2624219,A1,64.19
dynamic,6,2243882,A1,63.51
impact,7,2233572,A1,63.49
domain,8,2223310,A1,63.47
publish,9,1949845,A1,62.9
denote,10,1807174,A1,62.57
authority,11,1778279,A1,62.5
semantic,12,1729816,A1,62.38
par,13,1713957,A1,62.34
ion,14,1651962,A1,62.18
matrix,15,1648162,A1,62.17
linear,16,1629296,A1,62.12
cognitive,17,1610646,A1,62.07
graph,18,1517050,A1,61.81
correlation,19,1499685,A1,61.76
linguistic,20,1492794,A1,61.74
acid,21,1485936,A1,61.72
induce,22,1462177,A1,61.65
velocity,23,1458814,A1,61.64
interval,24,1452112,A1,61.62
discourse,25,1415794,A1,61.51
finite,26,1406048,A1,61.48
stimulus,27,1393157,A1,61.44
vector,28,1389953,A1,61.43
electron,29,1383566,A1,61.41
receptor,30,1367729,A1,61.36
theorem,31,1355189,A1,61.32
algorithm,32,1333521,A1,61.25
fluid,33,1321296,A1,61.21
developmental,34,1309182,A1,61.17
bound,35,1300170,A1,61.14
molecular,36,1264736,A1,61.02
transformation,37,1253141,A1,60.98
spatial,38,1227439,A1,60.89
coefficient,39,1210598,A1,60.83
translation,40,1174898,A1,60.7
membrane,41,1169499,A1,60.68
neuron,42,1161449,A1,60.65
simulation,43,1158777,A1,60.64
lexical,44,1153453,A1,60.62
regime,45,1129796,A1,60.53
variance,46,1081434,A1,60.34
molecule,47,1073989,A1,60.31
marker,48,1054387,A1,60.23
empirical,49,1035142,A1,60.15
robot,50,1013911,A1,60.06
statistical,51,1000000,A1,60
vowel,52,993116,A1,59.97
equilibrium,53,988553,A1,59.95
intensity,54,986279,A1,59.94
regression,55,981748,A1,59.92
diagnosis,56,963829,A1,59.84
identification,57,959401,A1,59.82
node,58,950605,A1,59.78
candidate,59,939723,A1,59.73
partial,60,935406,A1,59.71
correlate,61,928966,A1,59.68
mortality,62,926830,A1,59.67
antibody,63,922571,A1,59.65
temporal,64,914113,A1,59.61
particle,65,909913,A1,59.59
duration,66,907821,A1,59.58
behavioral,67,901571,A1,59.55
consumption,68,901571,A1,59.55
bilingual,69,889201,A1,59.49
sensitivity,70,885116,A1,59.47
similarity,71,883080,A1,59.46
optimal,72,872971,A1,59.41
explicit,73,868960,A1,59.39
mutation,74,864968,A1,59.37
colonial,75,864968,A1,59.37
phonological,76,857038,A1,59.33
spectrum,77,857038,A1,59.33
nucleus,78,855067,A1,59.32
onset,79,853100,A1,59.31
integration,80,843335,A1,59.26
dominant,81,841395,A1,59.25
pathway,82,835603,A1,59.22
coordinate,83,829851,A1,59.19
calculation,84,827942,A1,59.18
precede,85,824138,A1,59.16
subset,86,822243,A1,59.15
syntactic,87,820352,A1,59.14
orientation,88,818465,A1,59.13
proposition,89,818465,A1,59.13
inequality,90,814704,A1,59.11
identical,91,814704,A1,59.11
prevalence,92,812831,A1,59.1
differential,93,801678,A1,59.04
generalize,94,799834,A1,59.03
beam,95,797995,A1,59.02
pulse,96,796159,A1,59.01
norm,97,796159,A1,59.01
trait,98,788860,A1,58.97
prediction,99,787046,A1,58.96
correspondence,100,783430,A1,58.94
essentially,101,781628,A1,58.93
syllable,102,762079,A1,58.82
chromosome,103,753356,A1,58.77
infect,104,751623,A1,58.76
magnetic,105,751623,A1,58.76
configuration,106,751623,A1,58.76
numerical,107,748170,A1,58.74
namely,108,746449,A1,58.73
intermediate,109,744732,A1,58.72
transmission,110,744732,A1,58.72
dose,111,743019,A1,58.71
occurrence,112,741310,A1,58.7
maternal,113,739605,A1,58.69
axis,114,736207,A1,58.67
rational,115,734514,A1,58.66
locus,116,731139,A1,58.64
elite,117,729458,A1,58.63
approximation,118,724436,A1,58.6
thesis,119,724436,A1,58.6
sin,120,722770,A1,58.59
classification,121,714496,A1,58.54
threshold,122,711214,A1,58.52
syndrome,123,709578,A1,58.51
comparative,124,707946,A1,58.5
activate,125,701455,A1,58.46
adolescent,126,701455,A1,58.46
vocabulary,127,698232,A1,58.44
encode,128,698232,A1,58.44
utterance,129,698232,A1,58.44
facilitate,130,698232,A1,58.44
incidence,131,695024,A1,58.42
induction,132,695024,A1,58.42
trajectory,133,695024,A1,58.42
manuscript,134,693426,A1,58.41
commonly,135,679204,A1,58.32
grammatical,136,679204,A1,58.32
accuracy,137,679204,A1,58.32
adaptation,138,677642,A1,58.31
amplitude,139,677642,A1,58.31
cortex,140,677642,A1,58.31
minimal,141,672977,A1,58.28
systematic,142,672977,A1,58.28
horizontal,143,671429,A1,58.27
projection,144,669885,A1,58.26
synthesis,145,669885,A1,58.26
diameter,146,669885,A1,58.26
cone,147,666807,A1,58.24
dependence,148,666807,A1,58.24
organism,149,663743,A1,58.22
emergence,150,660693,A1,58.2
overlap,151,659174,A1,58.19
substitution,152,651628,A1,58.14
explicitly,153,648634,A1,58.12
evident,154,648634,A1,58.12
conceptual,155,647143,A1,58.11
detection,156,645654,A1,58.1
interact,157,645654,A1,58.1
neural,158,642688,A1,58.08
chronic,159,641210,A1,58.07
integral,160,639735,A1,58.06
enzyme,161,638263,A1,58.05
conference,162,636796,A1,58.04
