word,rank,frequency,cefr_level,sfi
the,1,609536897,A1,87.85
be,2,485288500,A1,86.86
and,3,307609681,A1,84.88
of,4,301300602,A1,84.79
to,5,292415238,A1,84.66
a,6,278612117,A1,84.45
in,7,211348904,A1,83.25
have,8,142232879,A1,81.53
it,9,137720947,A1,81.39
you,10,128233058,A1,81.08
he,11,110153931,A1,80.42
for,12,100230524,A1,80.01
they,13,97723722,A1,79.9
not,14,94841846,A1,79.77
that,15,86496792,A1,79.37
we,16,83945999,A1,79.24
on,17,77624712,A1,78.9
with,18,73790423,A1,78.68
this,19,69984200,A1,78.45
i,20,68233869,A1,78.34
do,21,68076936,A1,78.33
as,22,67452803,A1,78.29
at,23,55718575,A1,77.46
she,24,51999600,A1,77.16
but,25,50815944,A1,77.06
from,26,46025657,A1,76.63
by,27,43251383,A1,76.36
will,28,41975898,A1,76.23
or,29,40644333,A1,76.09
say,30,34276779,A1,75.35
go,31,32583670,A1,75.13
so,32,32284941,A1,75.09
all,33,31768741,A1,75.02
if,34,30060763,A1,74.78
one,35,29991625,A1,74.77
would,36,29991625,A1,74.77
about,37,29648314,A1,74.72
can,38,28906799,A1,74.61
which,39,28840315,A1,74.6
there,40,28183829,A1,74.5
know,41,26363314,A1,74.21
more,42,26302680,A1,74.2
get,43,25703958,A1,74.1
who,44,25351286,A1,74.04
like,45,24660393,A1,73.92
when,46,24322040,A1,73.86
think,47,24322040,A1,73.86
make,48,23604782,A1,73.73
time,49,23014418,A1,73.62
see,50,22284351,A1,73.48
what,51,22029265,A1,73.43
up,52,21478305,A1,73.32
some,53,21281390,A1,73.28
other,54,20989399,A1,73.22
out,55,20653802,A1,73.15
good,56,20370421,A1,73.09
people,57,20183664,A1,73.05
year,58,19498446,A1,72.9
take,59,18749945,A1,72.73
no,60,18535316,A1,72.68
well,61,18365383,A1,72.64
because,62,18238957,A1,72.61
very,63,17906059,A1,72.53
just,64,17498467,A1,72.43
come,65,16943378,A1,72.29
could,66,16865530,A1,72.27
work,67,16749429,A1,72.24
use,68,16557700,A1,72.19
than,69,15922087,A1,72.02
now,70,15631476,A1,71.94
then,71,15523870,A1,71.91
also,72,15523870,A1,71.91
into,73,14791084,A1,71.7
only,74,14757065,A1,71.69
look,75,13708818,A1,71.37
want,76,13520726,A1,71.31
give,77,13304544,A1,71.24
first,78,13212956,A1,71.21
new,79,12882496,A1,71.1
way,80,12793813,A1,71.07
find,81,12359474,A1,70.92
over,82,12359474,A1,70.92
any,83,12246162,A1,70.88
after,84,12105981,A1,70.83
day,85,11885022,A1,70.75
where,86,11885022,A1,70.75
thing,87,11614486,A1,70.65
most,88,11455129,A1,70.59
should,89,11324004,A1,70.54
need,90,11297959,A1,70.53
much,91,11246050,A1,70.51
right,92,11142945,A1,70.47
how,93,10939564,A1,70.39
back,94,10519619,A1,70.22
mean,95,10209395,A1,70.09
even,96,9885531,A1,69.95
may,97,9594006,A1,69.82
here,98,9484185,A1,69.77
many,99,9440609,A1,69.75
such,100,9354057,A1,69.71
last,101,9162205,A1,69.62
child,102,9099133,A1,69.59
tell,103,9015711,A1,69.55
really,104,8709636,A1,69.4
call,105,8689604,A1,69.39
before,106,8491805,A1,69.29
company,107,8413951,A1,69.25
through,108,8375293,A1,69.23
down,109,8336812,A1,69.21
show,110,8279422,A1,69.18
life,111,8109611,A1,69.09
man,112,8072350,A1,69.07
change,113,7979947,A1,69.02
place,114,7943282,A1,69
long,115,7906786,A1,68.98
between,116,7834296,A1,68.94
feel,117,7798301,A1,68.92
too,118,7620790,A1,68.82
still,119,7516229,A1,68.76
problem,120,7328245,A1,68.65
write,121,7328245,A1,68.65
same,122,7211075,A1,68.58
lot,123,7144963,A1,68.54
great,124,7095778,A1,68.51
try,125,6998420,A1,68.45
leave,126,6982324,A1,68.44
number,127,6982324,A1,68.44
both,128,6950243,A1,68.42
own,129,6918310,A1,68.4
part,130,6918310,A1,68.4
point,131,6839116,A1,68.35
little,132,6807694,A1,68.33
help,133,6792036,A1,68.32
ask,134,6745280,A1,68.29
meet,135,6698846,A1,68.26
start,136,6698846,A1,68.26
talk,137,6652732,A1,68.23
something,138,6652732,A1,68.23
put,139,6546362,A1,68.16
another,140,6546362,A1,68.16
become,141,6531306,A1,68.15
interest,142,6531306,A1,68.15
country,143,6531306,A1,68.15
old,144,6471426,A1,68.11
each,145,6456542,A1,68.1
school,146,6382635,A1,68.05
late,147,6382635,A1,68.05
high,148,6367955,A1,68.04
different,149,6353309,A1,68.03
off,150,6309573,A1,68
next,151,6194411,A1,67.92
end,152,6194411,A1,67.92
live,153,6081350,A1,67.84
why,154,6067363,A1,67.83
while,155,5984116,A1,67.77
world,156,5970353,A1,67.76
week,157,5956621,A1,67.75
play,158,5929253,A1,67.73
might,159,5861382,A1,67.68
must,160,5861382,A1,67.68
home,161,5847901,A1,67.67
never,162,5794287,A1,67.63
include,163,5754399,A1,67.6
course,164,5754399,A1,67.6
house,165,5714786,A1,67.57
report,166,5701643,A1,67.56
group,167,5688529,A1,67.55
case,168,5688529,A1,67.55
woman,169,5688529,A1,67.55
around,170,5675446,A1,67.54
book,171,5662393,A1,67.53
family,172,5649370,A1,67.52
seem,173,5623413,A1,67.5
let,174,5546257,A1,67.44
again,175,5546257,A1,67.44
kind,176,5533501,A1,67.43
keep,177,5508077,A1,67.41
hear,178,5457579,A1,67.37
system,179,5445027,A1,67.36
every,180,5445027,A1,67.36
question,181,5420009,A1,67.34
during,182,5395106,A1,67.32
always,183,5308844,A1,67.25
big,184,5272299,A1,67.22
set,185,5260173,A1,67.21
small,186,5248075,A1,67.2
study,187,5236004,A1,67.19
follow,188,5211947,A1,67.17
begin,189,5176068,A1,67.14
important,190,5176068,A1,67.14
since,191,5152286,A1,67.12
run,192,5105050,A1,67.08
under,193,5093309,A1,67.07
turn,194,5093309,A1,67.07
few,195,5093309,A1,67.07
bring,196,5011872,A1,67
early,197,4988845,A1,66.98
hand,198,4977371,A1,66.97
state,199,4943107,A1,66.94
move,200,4931738,A1,66.93
money,201,4920395,A1,66.92
fact,202,4852885,A1,66.86
however,203,4786301,A1,66.8
area,204,4764310,A1,66.78
provide,205,4764310,A1,66.78
name,206,4720630,A1,66.74
read,207,4709773,A1,66.73
friend,208,4677351,A1,66.7
month,209,4677351,A1,66.7
large,210,4645153,A1,66.67
business,211,4645153,A1,66.67
without,212,4613176,A1,66.64
information,213,4591980,A1,66.62
open,214,4581419,A1,66.61
order,215,4560369,A1,66.59
government,216,4549881,A1,66.58
word,217,4549881,A1,66.58
issue,218,4528976,A1,66.56
market,219,4497799,A1,66.53
pay,220,4477133,A1,66.51
build,221,4466836,A1,66.5
hold,222,4415704,A1,66.45
service,223,4405549,A1,66.44
against,224,4355119,A1,66.39
believe,225,4345102,A1,66.38
second,226,4325138,A1,66.36
though,227,4305266,A1,66.34
yes,228,4295364,A1,66.33
love,229,4265795,A1,66.3
increase,230,4246196,A1,66.28
job,231,4246196,A1,66.28
plan,232,4246196,A1,66.28
result,233,4236430,A1,66.27
away,234,4236430,A1,66.27
example,235,4207266,A1,66.24
happen,236,4197590,A1,66.23
offer,237,4178304,A1,66.21
young,238,4168694,A1,66.2
close,239,4159106,A1,66.19
program,240,4139997,A1,66.17
lead,241,4102041,A1,66.13
buy,242,4045759,A1,66.07
understand,243,4027170,A1,66.05
thank,244,3990249,A1,66.01
far,245,3981072,A1,66
today,246,3926449,A1,65.94
hour,247,3917419,A1,65.93
student,248,3908409,A1,65.92
face,249,3899420,A1,65.91
hope,250,3881504,A1,65.89
idea,251,3863670,A1,65.87
cost,252,3854784,A1,65.86
less,253,3854784,A1,65.86
room,254,3845918,A1,65.85
until,255,3828247,A1,65.83
reason,256,3828247,A1,65.83
form,257,3793150,A1,65.79
spend,258,3784426,A1,65.78
head,259,3775722,A1,65.77
car,260,3775722,A1,65.77
learn,261,3749730,A1,65.74
level,262,3723917,A1,65.71
person,263,3681290,A1,65.66
experience,264,3655948,A1,65.63
once,265,3647539,A1,65.62
member,266,3639150,A1,65.61
enough,267,3630781,A1,65.6
