word_lemma,pos,cefr_level,zipf_score,grade_level,sources,confidence
be,verb,A1,7.5,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
have,verb,A1,7.2,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
do,verb,A1,7.1,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
go,verb,A1,6.8,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
make,verb,A1,6.5,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
get,verb,A1,6.7,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
see,verb,A1,6.4,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
know,verb,A1,6.3,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
think,verb,A1,6.2,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
come,verb,A1,6.1,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
want,verb,A1,6.0,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
use,verb,A1,5.9,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
find,verb,A1,5.8,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
give,verb,A1,5.7,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
tell,verb,A1,5.6,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
work,verb,A1,5.8,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
call,verb,A1,5.5,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
try,verb,A1,5.4,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
ask,verb,A1,5.3,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
need,verb,A1,5.7,5,"[""CEFR-J"",""NGSL"",""SVL""]",1.0
feel,verb,A1,5.5,4,"[""CEFR-J"",""NGSL""]",0.9
become,verb,A1,5.4,4,"[""CEFR-J"",""NGSL""]",0.9
leave,verb,A1,5.2,4,"[""CEFR-J"",""NGSL""]",0.9
put,verb,A1,5.3,4,"[""CEFR-J"",""NGSL""]",0.9
